city,country,name,state,website
Qandahār,Afghanistan,Kandahar University,,http://www.kan.edu.af/
Manama,Bahrain,Al Ahlia University,,http://www.ahliauniversity.org/
Manama,Bahrain,Arabian Gulf University,,http://www.agu.edu.bh/
Manama,Bahrain,Arab Open University,,http://www.aou.org.bh/
Manama,Bahrain,Gulf University College,,http://www.gulfuniversity.net/
Manama,Bahrain,New York Instiute of Technology,,http://www.nyit.edu.bh/
Manama,Bahrain,RCSI-Medical University of Bahrain,,http://www.rcsi-mub.com/
Manama,Bahrain,The Kingdom University,,http://www.ku.edu.bh/
Manama,Bahrain,University College Bahrain,,http://www.ucb.edu.bh/
Manama,Bahrain,University of Bahrain,,http://www.uob.edu.bh/
Nassau,Bahamas,The College of The Bahamas,,http://www.cob.edu.bs/
Juffair,Bahrain,Applied Science University,,http://www.asu.edu.bh/
Sumqayıt,Azerbaijan,Sumgait State University,,http://www.sdu.edu.az/
Naxçıvan,Azerbaijan,Nakhchivan State University,,http://www.ndu.edu.az/
Baku,Azerbaijan,Academy of Public Administration,,http://www.dia.edu.az/
Baku,Azerbaijan,Azerbaijan Diplomatic Academy,,http://www.ada.edu.az/
Baku,Azerbaijan,Azerbaijan International University,,http://www.abu.az/
Baku,Azerbaijan,Azerbaijan Medical University,,http://www.amu.edu.az/
Baku,Azerbaijan,Azerbaijan National Conservatorie,,http://www.conservatory.az/
Baku,Azerbaijan,Azerbaijan State Economic University,,http://www.aseu.az/
Baku,Azerbaijan,Azerbaijan State Oil Academy,,http://adna.jis.az/
Baku,Azerbaijan,Azerbaijan Technical University,,http://www.aztu.az/
Baku,Azerbaijan,Azerbaijan Toursim Institute,,http://www.tourism.edu.az/
Baku,Azerbaijan,Azerbaijan University,,http://www.au.edu.az/
Baku,Azerbaijan,Azerbaijan University ol Languages,,http://www.adu.edu.az/
Baku,Azerbaijan,Baki Business University,,http://www.bbu.edu.az/
Baku,Azerbaijan,Baku Slavic University,,http://www.bsu-edu.org/
Baku,Azerbaijan,Baku State University,,http://www.bsu.az/
Baku,Azerbaijan,Khazar University,,http://www.khazar.org/
Baku,Azerbaijan,Nakhchivan Private University,,https://nu.edu.az/
Baku,Azerbaijan,National Aviation Academy,,http://www.naa.edu.az/
Baku,Azerbaijan,Odlar Yurdu University,,http://www.oyu.edu.az/
Baku,Azerbaijan,Police Academy,,http://www.pa.edu.az/
Baku,Azerbaijan,Qafqaz University,,http://www.qafqaz.edu.az/
Baku,Azerbaijan,Western University,,http://www.wu.edu.az/
Namur,Belgium,Facultés Universitaires Notre-Dame de la Paix,,http://www.fundp.ac.be/
Cotonou,Benin,Afriford University,,http://www.afriford.com/
Cotonou,Benin,Espam Formation University,,http://www.espamformationuc.org/
Cotonou,Benin,Houdegbe North American University Benin,,http://www.hnaubenin.org/
Cotonou,Benin,Université d'Abomey-Calavi (UAC),,http://www.uac.bj/
Lənkəran,Azerbaijan,Lankaran State University,,http://www.lsu.edu.az/
Gəncə,Azerbaijan,Azerbaijan Technology University,,http://www.aztu.edu.az/
Gəncə,Azerbaijan,Ganja State University ,,http://www.gsu.az/
'Īsā,Bahrain,Bahrain Polytechnic,,http://www.polytechnic.bh/
Wels,Austria,"FH Oberösterreich, Campus Wels",,https://www.fh-ooe.at/campus-wels/
Tangāyal,Bangladesh,Mawlana Bhashani Science And Technology University,,http://www.mbstu.ac.bd/
Wollongong,Australia,University of Wollongong,,http://www.uow.edu.au/
Saint John's,Antigua and Barbuda,American University of Antigua,,http://www.auamed.org/
Saint John's,Antigua and Barbuda,University of Health Sciences Antigua,,http://www.uhsa.ag/
Townsville,Australia,James Cook University of North Queensland,,http://www.jcu.edu.au/
Toowoomba,Australia,University of Southern Queensland,,http://www.usq.edu.au/
Sydney,Australia,Australian Catholic University,,http://www.acu.edu.au/
Sydney,Australia,Blue Mountains Hotel School,,http://www.hotelschool.com.au/
Sydney,Australia,International College of Hotel Management,,https://www.ichm.edu.au/
Sydney,Australia,Macquarie University,,http://www.mq.edu.au/
Sydney,Australia,University of New South Wales,,http://www.unsw.edu.au/
Sydney,Australia,University of Sydney,,http://www.usyd.edu.au/
Sydney,Australia,University of Technology Sydney,,http://www.uts.edu.au/
Sydney,Australia,University of Western Sydney,,http://www.uws.edu.au/
Mutare,Zimbabwe,Africa University,,http://www.africau.edu/
Sunshine Coast,Australia,University of the Sunshine Coast,,http://www.usc.edu.au/
Yerevan,Armenia,American University of Armenia,,http://www.aua.am/
Yerevan,Armenia,Armenian State Agrarian University,,http://www.asau.am/
Yerevan,Armenia,Armenian State University of Economics,,http://www.asue.am/
Yerevan,Armenia,Eurasia International University,,http://www.eiu.am/
Yerevan,Armenia,European Regional Educational Academy of Armenia,,http://www.eriicta.am/
Yerevan,Armenia,French University in Armenia (UFAR),,http://www.ufar.am/
Yerevan,Armenia,Mehrabyan Medical Institute and Medical College,,http://www.armmed.am/
Yerevan,Armenia,Russian-Armenian (Slavonic) State University,,http://www.rau.am/
Yerevan,Armenia,State Engineering University of Armenia,,http://www.seua.am/
Yerevan,Armenia,Yerevan Haibusak University,,http://www.haybusak.org/
Yerevan,Armenia,Yerevan State Medical University,,http://www.ysmu.am/
Yerevan,Armenia,Yerevan State University,,http://www.ysu.am/
York,United States,York College Nebraska,Nebraska,http://www.york.edu/
Wayne,United States,Wayne State College,Nebraska,http://www.wsc.edu/
Seward,United States,"Concordia College, Seward",Nebraska,http://www.cune.edu/
Kearney,United States,University of Nebraska - Kearney,Nebraska,http://www.unk.edu/
Peru,United States,Peru State College,Nebraska,http://www.peru.edu/
Omaha,United States,Clarkson College,Nebraska,http://www.clarksoncollege.edu/
Omaha,United States,College of St. Mary,Nebraska,http://www.csm.edu/
Omaha,United States,Creighton University,Nebraska,http://www.creighton.edu/
Omaha,United States,Grace University,Nebraska,http://www.graceu.edu/
Omaha,United States,Nebraska Methodist College of Nursing and Allied Health,Nebraska,http://www.methodistcollege.edu/nurseover.html
Omaha,United States,University of Nebraska Medical Center,Nebraska,http://www.unmc.edu/
Omaha,United States,University of Nebraska - Omaha,Nebraska,http://www.unomaha.edu/
Norfolk,United States,Nebraska Christian College,Nebraska,http://www.nechristian.edu/
Lincoln,United States,Nebraska Wesleyan University,Nebraska,http://www.nebrwesleyan.edu/
Lincoln,United States,Union College Nebraska,Nebraska,http://www.ucollege.edu/
Lincoln,United States,University of Nebraska - Lincoln,Nebraska,http://www.unl.edu/
Lincoln,United States,University of Nebraska (System),Nebraska,http://www.nebraska.edu/
Hastings,United States,Hastings College,Nebraska,http://www.hastings.edu/
Crete,United States,Doane College,Nebraska,http://www.doane.edu/
Fremont,United States,Midland Lutheran College,Nebraska,http://www.mlc.edu/
Chadron,United States,Chadron State College,Nebraska,http://www.csc.edu/
Harare,Zimbabwe,Catholic University in Zimbabwe,,http://www.cuz.ac.zw/
Harare,Zimbabwe,Harare Institute of Technology,,http://www.hit.ac.zw/
Harare,Zimbabwe,University of Zimbabwe,,http://www.uz.ac.zw/
Harare,Zimbabwe,Zimbabwe Open University,,http://www.zou.ac.zw/
Blair,United States,Dana College,Nebraska,http://www.dana.edu/
Masvingo,Zimbabwe,Great Zimbabwe University,,http://www.gzu.ac.zw/
Masvingo,Zimbabwe,Reformed Church University,,http://www.rcu.ac.zw/
Bellevue,United States,Bellevue University,Nebraska,http://www.bellevue.edu/
Gweru,Zimbabwe,Midlands State University,,http://www.msu.ac.zw/
Chinhoyi,Zimbabwe,Chinhoyi University of Technology,,http://www.cut.ac.zw/
Marondera,Zimbabwe,Women's University in Africa,,http://www.wua.ac.zw/
Bulawayo,Zimbabwe,National University of Science and Technology Bulawayo,,http://www.nust.ac.zw/
Bulawayo,Zimbabwe,Solusi University,,http://solusi.ac.zw/
Bindura,Zimbabwe,Bindura University of Science Education,,https://www.buse.ac.zw/
Bindura,Zimbabwe,Zimbabwe Ezekiel Guti University,,http://www.zegu.ac.zw/
Muqdisho,Somalia,Benadir University,,http://www.benadiruniversity.net/
Muqdisho,Somalia,Imam University,,http://www.imamuniversity.net/
Muqdisho,Somalia,Mogadishu University,,http://mu.edu.so/
Muqdisho,Somalia,University of Somalia,,http://www.uniso.edu.so/
Laascanood,Somalia,Nugaal University,,http://www.nugaaluniversity.com/
Garoowe,Somalia,Puntland State University,,http://puntlandstateuniversity.com/
Hargeysa,Somalia,Gollis University,,http://www.gollisuniversity.com/
Hargeysa,Somalia,Somaliland University of Technology,,http://www.somalilanduniversity.org/
Hargeysa,Somalia,University of Hargeisa,,http://uoh-edu.net/
Ceerigaabo,Somalia,Sanaag University of Science and Technology,,http://www.sanaaguniversity.com/
Burco,Somalia,University of Burao,,http://www.buraouniversity.com/
Boosaaso,Somalia,East Africa University Bosaso,,http://eastafricauniversity.net/
Boorama,Somalia,Amoud University,,http://www.amouduniversity.org/
Boorama,Somalia,Eelo University,,http://www.eelouniversity.org/
Beledweyne,Somalia,Hiiraan University,,http://www.hiiraanuniversity.info/
Badhan,Somalia,Maakhir University,,http://maakhiruniversity.net/
Villa María,Argentina,Universidad Nacional de Villa María,,http://www.unvm.edu.ar/
Victoria,Argentina,Universidad de San Andres,,http://www.udesa.edu.ar/
Valentín Alsina,Argentina,Universidad Nacional de Lanus,,http://www.unla.edu.ar/
Tucumán,Argentina,"Universidad del Norte ""Santo Tomás de Aquino""",,http://www.unsta.edu.ar/
Tucumán,Argentina,Universidad Nacional de General Sarmiento,,http://www.ungs.edu.ar/
Tucumán,Argentina,Universidad Nacional de Tucumán,,http://www.unt.edu.ar/
Tandil,Argentina,Universidad Nacional del Centro de la Provincia de Buenos Aires,,http://www.unicen.edu.ar/
Santiago del Estero,Argentina,Universidad Católica de Santiago del Estero,,http://www.ucse.edu.ar/
Santiago del Estero,Argentina,Universidad Nacional de Santiago del Estero,,http://www.unse.edu.ar/
Santa Rosa,Argentina,Universidad Nacional de La Pampa,,http://www.unlpam.edu.ar/
San Martín,Argentina,Universidad Adventista del Plata,,http://www.uapar.edu/
San Martín,Argentina,Universidad Nacional de General San Martín,,http://www.unsam.edu.ar/
San Martín,Argentina,Universidad Nacional de Tres de Febrero,,http://www.untref.edu.ar/
Santa Fé,Argentina,Universidad Católica de Santa Fé,,http://www.ucsf.edu.ar/
Santa Fé,Argentina,Universidad Nacional del Littoral,,http://www.unl.edu.ar/
San Luis,Argentina,Universidad Nacional de San Luis,,http://www.unsl.edu.ar/
San Justo,Argentina,Universidad Nacional de La Matanza,,http://www.unlam.edu.ar/
San Juan,Argentina,Universidad Católica de Cuyo,,http://www.uccuyo.edu.ar/
San Juan,Argentina,Universidad Nacional de San Juan,,http://www.unsj.edu.ar/
Rosario,Argentina,Universidad del Centro Educativo Latinoamericano Rosario,,http://www.ucel.edu.ar/
Rosario,Argentina,Universidad Nacional de Rosario,,http://www.unr.edu.ar/
Salta,Argentina,Universidad Católica de Salta,,http://www.ucasal.edu.ar/
Salta,Argentina,Universidad Nacional de Salta,,http://www.unsa.edu.ar/
Río Gallegos,Argentina,Universidad Nacional de la Patagonia Austral,,http://www.unpa.edu.ar/
Posadas,Argentina,Universidad Nacional de Misiones,,http://www.unam.edu.ar/
Río Cuarto,Argentina,Universidad Nacional de Río Cuarto,,http://www.unrc.edu.ar/
Paraná,Argentina,Universidad Autónoma de Entre Ríos,,http://www.uader.edu.ar/
Pergamino,Argentina,Universidad Nacional del Noroeste de la Provincia de Buenos Aires,,http://www.unnoba.edu.ar/
Neuquén,Argentina,Universidad Nacional del Comahue,,http://www.uncoma.edu.ar/
Mendoza,Argentina,Universidad Champagnat,,http://www.uch.edu.ar/
Mendoza,Argentina,Universidad de Congreso,,http://www.ucongres.edu.ar/
Mendoza,Argentina,Universidad del Aconcagua,,http://www.uda.edu.ar/
Mendoza,Argentina,Universidad de Mendoza,,http://www.um.edu.ar/
Mendoza,Argentina,"Universidad ""Juan Agustín Maza""",,http://www.umaza.edu.ar/
Mendoza,Argentina,Universidad Nacional de Cuyo,,http://www.uncu.edu.ar/
Mar del Plata,Argentina,Universidad de la Fraternidad de Agrupaciones Santo Tomas de Aquino (FASTA),,http://www.ufasta.edu.ar/
Mar del Plata,Argentina,Universidad Nacional de Mar del Plata,,http://www.mdp.edu.ar/
Mar de Ajó,Argentina,Universidad Atlantida Argentina,,http://www.atlantida.edu.ar/
Luján,Argentina,Universidad Nacional de Luján,,http://www.unlu.edu.ar/
La Rioja,Argentina,Universidad Nacional de La Rioja,,http://www.unlar.edu.ar/
La Plata,Argentina,Universidad Católica de La Plata,,http://www.ucalp.edu.ar/
La Plata,Argentina,Universidad Nacional de La Plata,,http://www.unlp.edu.ar/
La Plata,Argentina,Universidad Notarial Argentina,,http://www.universidadnotarial.edu.ar/
Jujuy,Argentina,Universidad Nacional de Jujuy,,http://www.unju.edu.ar/
Formosa,Argentina,Universidad Nacional de Formosa,,http://www.unf.edu.ar/
Concepción del Uruguay,Argentina,Universidad de Concepción del Uruguay,,http://www.ucu.edu.ar/
Concepción del Uruguay,Argentina,Universidad Nacional de Entre Ríos,,http://www.uner.edu.ar/
Corrientes,Argentina,Universidad de la Cuenca del Plata,,http://www.ucp.edu.ar/
Corrientes,Argentina,Universidad Nacional del Nordeste,,http://www.unne.edu.ar/
Catamarca,Argentina,"Instituto Nacional de Educación Física ""General Manuel Belgrano""",,http://www.unlu.edu.ar/Belgrano.htm
Catamarca,Argentina,Universidad Nacional de Catamarca,,http://www.unca.edu.ar/
Comodoro Rivadavia,Argentina,"Universidad Nacional de la Patagonia ""San Juan Bosco""",,http://www.unp.edu.ar/
Córdoba,Argentina,Instituto Universitario Aeronáutico,,http://www.iua.edu.ar/
Córdoba,Argentina,Universidad Blas Pascal,,http://www.ubp.edu.ar/
Córdoba,Argentina,Universidad Católica de Córdoba,,http://www.uccor.edu.ar/
